HUD frame time nsec:,1673000

Range Index,Elapsed Time, First Event,Last Event
0,9696,5,5

Range Index,Elapsed Time, First Event,Last Event
0,7136,5,5

Range Index,Elapsed Time, First Event,Last Event
0,8928,5,5
