HUD frame time nsec:,1730000

Range Index,Elapsed Time, First Event,Last Event
0,12352,5,5

Range Index,Elapsed Time, First Event,Last Event
0,7488,5,5

Range Index,Elapsed Time, First Event,Last Event
0,7296,5,5
